YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,6,6/19/2019,185,Orange Line,Midway Airport,930,8614
2019,6,6/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13692
2019,6,6/20/2019,185,Orange Line,Midway Airport,930,8183
2019,6,6/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12380
2019,6,6/21/2019,185,Orange Line,Midway Airport,930,9546
2019,6,6/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6173
2019,6,6/22/2019,185,Orange Line,Midway Airport,930,4573
2019,6,6/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,5169
2019,6,6/23/2019,185,Orange Line,Midway Airport,930,3822
2019,6,6/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6192
2019,6,6/24/2019,185,Orange Line,Midway Airport,930,8296
2019,6,6/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6193
2019,6,6/25/2019,185,Orange Line,Midway Airport,930,9038
2019,6,6/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8772
2019,6,6/26/2019,185,Orange Line,Midway Airport,930,8795
2019,6,6/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12288
2019,6,6/27/2019,185,Orange Line,Midway Airport,930,8704
2019,6,6/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13534
2019,6,6/28/2019,185,Orange Line,Midway Airport,930,8469
2019,6,6/29/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9400
2019,6,6/29/2019,185,Orange Line,Midway Airport,930,4210
2019,6,6/30/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9538
2019,6,6/30/2019,185,Orange Line,Midway Airport,930,4877
2019,7,7/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12108
2019,7,7/1/2019,185,Orange Line,Midway Airport,930,7728
2019,7,7/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10189
2019,7,7/2/2019,185,Orange Line,Midway Airport,930,7591
2019,7,7/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12974
2019,7,7/3/2019,185,Orange Line,Midway Airport,930,8585
2019,7,7/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11337
2019,7,7/4/2019,185,Orange Line,Midway Airport,930,4020
2019,7,7/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9939
2019,7,7/5/2019,185,Orange Line,Midway Airport,930,5850
2019,7,7/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9652
2019,7,7/6/2019,185,Orange Line,Midway Airport,930,3923
2019,7,7/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13524
2019,7,7/7/2019,185,Orange Line,Midway Airport,930,4555
2019,7,7/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13529
2019,7,7/8/2019,185,Orange Line,Midway Airport,930,8411
2019,7,7/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12290
2019,7,7/9/2019,185,Orange Line,Midway Airport,930,8716
2019,7,7/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11931
2019,7,7/10/2019,185,Orange Line,Midway Airport,930,8501
2019,7,7/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13520
