TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Pittsburgh Pirates,Chicago Cubs,2019-09-15,13:21,39103.0,Wrigley Field,3:28,https://www.baseball-reference.com//boxes/CHN/CHN201909150.shtml
Cincinnati Reds,Chicago Cubs,2019-09-16,19:05,33753.0,Wrigley Field,3:27,https://www.baseball-reference.com//boxes/CHN/CHN201909160.shtml
Cincinnati Reds,Chicago Cubs,2019-09-17,19:06,34267.0,Wrigley Field,3:08,https://www.baseball-reference.com//boxes/CHN/CHN201909170.shtml
Cincinnati Reds,Chicago Cubs,2019-09-18,19:05,36578.0,Wrigley Field,3:40,https://www.baseball-reference.com//boxes/CHN/CHN201909180.shtml
St. Louis Cardinals,Chicago Cubs,2019-09-19,18:16,39524.0,Wrigley Field,3:40,https://www.baseball-reference.com//boxes/CHN/CHN201909190.shtml
St. Louis Cardinals,Chicago Cubs,2019-09-20,13:20,39106.0,Wrigley Field,3:55,https://www.baseball-reference.com//boxes/CHN/CHN201909200.shtml
St. Louis Cardinals,Chicago Cubs,2019-09-21,13:21,40071.0,Wrigley Field,4:24,https://www.baseball-reference.com//boxes/CHN/CHN201909210.shtml
St. Louis Cardinals,Chicago Cubs,2019-09-22,13:20,38606.0,Wrigley Field,3:03,https://www.baseball-reference.com//boxes/CHN/CHN201909220.shtml
Cleveland Indians,Chicago White Sox,2019-09-24,19:11,13940.0,Guaranteed Rate Field,3:02,https://www.baseball-reference.com//boxes/CHA/CHA201909240.shtml
Cleveland Indians,Chicago White Sox,2019-09-25,19:11,15980.0,Guaranteed Rate Field,3:17,https://www.baseball-reference.com//boxes/CHA/CHA201909250.shtml
Cleveland Indians,Chicago White Sox,2019-09-26,19:11,16273.0,Guaranteed Rate Field,2:57,https://www.baseball-reference.com//boxes/CHA/CHA201909260.shtml
Detroit Tigers,Chicago White Sox,2019-09-28,,,Guaranteed Rate Field,2:41,https://www.baseball-reference.com//boxes/CHA/CHA201909281.shtml
Detroit Tigers,Chicago White Sox,2019-09-28,18:01,25552.0,Guaranteed Rate Field,2:58,https://www.baseball-reference.com//boxes/CHA/CHA201909282.shtml
Detroit Tigers,Chicago White Sox,2019-09-29,14:10,19534.0,Guaranteed Rate Field,2:37,https://www.baseball-reference.com//boxes/CHA/CHA201909290.shtml
