YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,6,2019-06-30,55.0,Blue Line - O'Hare,O'Hare Airport,9538
2019,6,2019-06-30,185.0,Orange Line,Midway Airport,4877
2019,7,2019-07-01,55.0,Blue Line - O'Hare,O'Hare Airport,12108
2019,7,2019-07-01,185.0,Orange Line,Midway Airport,7728
2019,7,2019-07-02,55.0,Blue Line - O'Hare,O'Hare Airport,10189
2019,7,2019-07-02,185.0,Orange Line,Midway Airport,7591
2019,7,2019-07-03,55.0,Blue Line - O'Hare,O'Hare Airport,12974
2019,7,2019-07-03,185.0,Orange Line,Midway Airport,8585
2019,7,2019-07-04,55.0,Blue Line - O'Hare,O'Hare Airport,11337
2019,7,2019-07-04,185.0,Orange Line,Midway Airport,4020
2019,7,2019-07-05,55.0,Blue Line - O'Hare,O'Hare Airport,9939
2019,7,2019-07-05,185.0,Orange Line,Midway Airport,5850
2019,7,2019-07-06,55.0,Blue Line - O'Hare,O'Hare Airport,9652
2019,7,2019-07-06,185.0,Orange Line,Midway Airport,3923
2019,7,2019-07-07,55.0,Blue Line - O'Hare,O'Hare Airport,13524
2019,7,2019-07-07,185.0,Orange Line,Midway Airport,4555
2019,7,2019-07-08,55.0,Blue Line - O'Hare,O'Hare Airport,13529
2019,7,2019-07-08,185.0,Orange Line,Midway Airport,8411
2019,7,2019-07-09,55.0,Blue Line - O'Hare,O'Hare Airport,12290
2019,7,2019-07-09,185.0,Orange Line,Midway Airport,8716
2019,7,2019-07-10,55.0,Blue Line - O'Hare,O'Hare Airport,11931
2019,7,2019-07-10,185.0,Orange Line,Midway Airport,8501
2019,7,2019-07-11,55.0,Blue Line - O'Hare,O'Hare Airport,13520
2019,7,2019-07-11,185.0,Orange Line,Midway Airport,9188
